word
abandon
aboard
abort (abortion)
abound (abundant)
abroad
absent
absorb
abstract
absurd
abuse
academy
accelerate
accommodate
accompany
accomplish
accord
accumulate
accurate
ache (headache)
acid
acknowledge
acquire
acquisition
addict
adequate
adjust
administer
(administration)
adolescent
adverse
advocate
aesthetic
agency
agenda
aggress (aggressive)
agriculture
alert
alien
alike
allocate
ally
alongside
alternate (alternative)
ambassador
ambition (ambitious)
analyze / analyse
anchor
ancient
angle
anniversary
anticipate
anxiety
apology
apparent
approve
approximate
architect (architecture)
arise
arrow
artifice (artificial)
aspect
aspire
assault
assemble
assert
asset
assure
astonish
athlete
atom
attribute
auction
authentic
author
avail (available)
await
awe (awful)
ban
bankrupt
bargain
barrier
beam
beard
beast
behalf
behave (behavior /
behaviour)
betray
bias
biography
biology
blast
blend
blink
blossom
bold
boost
border
boundary
breed
breeze
broadcast
brute (brutal)
bulk
bull
bully
bundle
burden
butcher
buzz

cancel
cancer
candidate
canvas
capture
carve
cater
cattle
caution
cave
cease
celebrate
celebrity
censor
certificate
chamber
chaos
charity
chef
chemical
chill
chin
choir
chorus
chronic
circulate
cite
clap
clash
clause
clay
cling
clinic
cluster
coincide
collaborate
collapse
collar
colleague
colony
column
combat
commit (commission)
commodity
(communication)
communist
companion
compatible
compel
compensate
compete (competent)
compile
complement
component
compose
compound
comprehend
(comprehensive)
comprise
compromise
conceal
conceive
conclude
concrete
condemn
conduct
confer
confess
confide (confident)
confine
conform
confront
congress
conscience
consent
conserve
consist (consistent)
constitute (constitution)
constrain
construct (construction)
consult
consumption)
contemporary
contend
continent
contradict
contrary
contrast
controversy
"convene (convenient,"
convention)
convert
convey
convict
cooperate
coordinate
copyright
cord
core
corn
corporate (corporation)
correspond
corridor
corrupt
costume
counsel
counter)
counterpart
coupon
"courage (discourage,"
encourage)
craft
craze (crazy)
credible (incredible)
creep
crew
criterion
"critic (criticize / criticise,"
criticism)
crop
crucial
cruise
crush
crystal
cultivate
currency
curriculum
curry
curse
curve
custody
custom
cynical
dairy
damp
dash
database
datum (data)
decade
decay
decent
declare
decline (declension)
decrease
dedicate
defeat
defend (defendant)
deficiency
deficit
delegate
delete
deliberate
delicate
democracy
democrat
demon
dense
"depart (department,"
departure)
independent)
depict
deposit
deprive
derive
descend
designate
despair
destine (destination)
destiny
destruct (destruction)
detach
device
devil
devise
devote
diabetes
dictate
differ (different)
dignity
dimension
diminish
dine
dip
diplomat
disaster
discourse
discriminate
dismiss
dispute
disrupt
distinct
distinguish
distort
distract
distribute
diverse
divine
domain
dominate (dominant)
dose
dot
draft
drain
dread
drill
drown
dual
dull
dwell
dynamic

eager
efficient
elaborate
electronic
elegant
elevate (elevator)
eliminate
elite
embassy
embrace
emerge (emergence)
emergency
emit (emission)
emphasis
encounter
endure
enhance
enterprise
enthusiastic
entry
environ (environment)
envy
equip (equipment)
era
erase (eraser)
erect
err (error)
essence (essential)
estate
ethic (ethical)
ethnic
evacuate
evaluate
evitable (inevitable)
