word
able (disabled)
absolute
accent
accept
access
accident
account
accuse
achieve
adapt
admire
admit (admission)
adopt
advance
advantage (disadvantage)
adventure
advice
advise
affair
affect (affection)
afford
agent
aid
aim
airline
airplane / aeroplane
airport
alarm
alcohol
alive
allow
aloud
alter
although
altogether
amaze
ambulance
among
amount
amuse
analysis
angel
anger
announce
annoy
annual
ant
anxious
apart
appeal
appear (disappear)
apply (applicant)
appoint
appreciate
approach
appropriate
argue
army
arrange
arrest
article
aside
asleep
assess
assign (assignment)
assist (assistant)
associate
assume
atmosphere
attach
attack
attempt
attend
attention
attitude
attract
audience
automatic
average
avoid
awake
award
aware (unaware)
awkward
background
bacon
balance
balloon
band
bang
bar
bare
bark
basis
battery
battle
bay
bean
beat
beer
beg
belief
belong
bench
bend
beneath
benefit
bet
beyond
billion
bin
bind
bit
bite
bitter
blame
blank
blanket
bless
blind
block
blonde
bloom
blow
boil
bomb
bond
boom
boot
bore
boss
bother
bounce
bow
bowl
brain
brake
branch
brand
breast
breath
breathe
brick
brief
brilliant
broad
bubble
budget
bug
bump
bunch
burst
bury
bush
cable
cage
calculate (calculator)
calendar
calm
capable
cape
capital
captain
career
carpet
cart
cast
castle
category
cause (causal)
ceiling
cell
century
chain
chairman
challenge
champion
channel
character
characteristic
charge (discharge)
charm
chart
chase
chat
check / cheque
cheek
cheer
chest
chew
chief
chip
choice
chop
cigarette
cinema
circumstance
citizen
civil
claim
clerk
click
client
cliff
climate
clip
clue
coach
coal
coast
code
coin
color / colour
combine
comedy
comfort (comfortable)
command
comment
commerce
committee
common
communicate
community
compare
complain
complete
complex (complexity)
complicate
concentrate
concept
concern
concert
confirm
conflict
confuse
connect
conscious
consider
constant
"consume (consumer,"
contact
contain
content
contest
context
continue
contract
contribute
converse (conversation)
convince
cookie / cooky
cop
cope
copy
correct
cottage
cotton
cough
council
"count (discount,"
countryside
county
crack
crash
crawl
create (creature)
credit
crime (criminal)
crisis
crisp
crowd
crown
cruel
cure
curious (curiosity)
curl
current
cute
"cycle(recycle, cyclist)"
damage
dare
darling
dawn
deal
debate
debt
deck
decorate
define
definite
degree
delay
delight
deliver
demand
demonstrate
dentist
deny
"depend (dependence,"
depress
describe (description)
desert
deserve
desire
desperate
despite
destroy
detail
detect
determine
develop
dialogue / dialog
diary
dictionary
diet
dig
direct
dirt (dirty)
disappoint
disc (disk)
discipline
disgust
dish
display
distance
district
disturb
dive
divide
divorce
document
dolphin
domestic
donate
doubt
dozen
drag
drama
drug
due
dump
dust
duty
each
earn
"ease (disease, easy)"
economy
edge
edit
educate
effect (effective)
effort
either
elect
electric
element (elementary)
else
embarrass
emotion
emphasize
empire
employ
empty
enemy
engage
engine
engineer
enormous
entertain
entire
envelope
equal
escape
especial (especially)
essay
establish
estimate
even
event (eventually)
ever
evidence
evil
exact
examine (examination /
except
exchange
excite
excuse
exhaust
exist
exit
expand
expect
expense (expensive)
experience
experiment
expert
explain
expose
express
extend
extra
extreme
factor
factory
faint
fair
faith
familiar
fancy
fantastic
fascinate
fashion
fault
favorite / favourite
fear
feature
fee
feed
fellow
female
fence
fever
few
figure
final
finance
firm
fit
flag
flame
flash
flat
flight
float
flood
flow
fog
fold
folk
follow
force (enforce)
foreign
forever
forgive
forth
fortunate
fortune
forward
found (foundation)
frame
frankly
freeze
fright
frog
frustrate
fry
function
fund
fur
furniture
gain
garage
gate
gather
gear
general
gentle
gesture
ghost
giant
gift
giraffe
glance
glory
glove
glue
golf
gorgeous
govern (government)
grab
grace
grade (gradual)
grand
grant
graph (graphic)
gray / grey
greet
grocery
guarantee
guard
guest
guide
guilt (guilty)
gun
half
hall
handle
handsome
happen
harm
health (healthy)
hear
heaven
height
helicopter
hell
hesitate
hide
highway
hint
hire
hole
honey
hotel
hug
huge
hunger (hungry)
hurt
identity (identify)
ignore
ill
illustrate
imagine
immediate
impress
improve
include
income
increase
indeed
indicate
individual
industry
influence
inform
injure
innocent
insist
inspect
instance
instant
instead
instruct
instrument
insure (insurance)
intend
intense
intent (intention)
interest
internal
interrupt
invent (inventor)
invest
investigate
involve
iron
island
item
jaw
jeans
joke
journey
joy (enjoy)
judge
junior
justice
knee
knock
knowledge
label
lack
lamb
lamp
lane
language
laugh
law
lawn
lawyer
lay (layer)
lead
leaf
league
lean
leap
leave
